sitemap_url,final_url,status,canonical,title,title_characters,description,h1_count,article_words,incoming_pages,incoming_articles,home_click_depth,literal_footnotes,og_image,twitter_title,schema_present_after_serialization
https://metabolicscience.org/,https://metabolicscience.org/,200,https://metabolicscience.org/,Metabolic Science | Evidence-Based Weight Loss & Health,55,"Research explainers on weight loss medications, metabolism science, and GLP-1 therapies. Educational health information with linked sources.",1,0,164,150,0,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/about,https://metabolicscience.org/about/,200,https://metabolicscience.org/about/,About Us | Metabolic Science,28,"Who publishes Metabolic Science, how AI assists our work, and how our educational content is funded.",1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/articles,https://metabolicscience.org/articles/,200,https://metabolicscience.org/articles/,Articles | Metabolic Health Authority | Metabolic Science,57,"Research articles on weight loss medications, GLP-1 therapies, metabolism, and metabolic health.",1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/calculators,https://metabolicscience.org/calculators/,200,https://metabolicscience.org/calculators/,Health Calculators | Metabolic Science,38,"Free health calculators including BMI, calorie needs, macronutrients, and body fat percentage.",1,0,0,0,unreachable in crawl,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/calculators/bmi,https://metabolicscience.org/calculators/bmi/,200,https://metabolicscience.org/calculators/bmi/,BMI Calculator | Metabolic Science,34,Calculate your Body Mass Index (BMI) to understand your weight category and health risks.,1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/calculators/body-fat,https://metabolicscience.org/calculators/body-fat/,200,https://metabolicscience.org/calculators/body-fat/,Body Fat Calculator | Metabolic Science,39,Estimate your body fat percentage using the US Navy method. Includes lean mass and fat mass calculations.,1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/calculators/calorie,https://metabolicscience.org/calculators/calorie/,200,https://metabolicscience.org/calculators/calorie/,Calorie Calculator | Metabolic Science,38,Calculate your daily calorie needs using the Mifflin-St Jeor equation. Includes BMR and TDEE calculations.,1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/calculators/macro,https://metabolicscience.org/calculators/macro/,200,https://metabolicscience.org/calculators/macro/,Macro Calculator | Metabolic Science,36,"Calculate your optimal macronutrient intake for weight loss, maintenance, or muscle gain.",1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/editorial-policy,https://metabolicscience.org/editorial-policy/,200,https://metabolicscience.org/editorial-policy/,Editorial Policy | Metabolic Science,36,"Our sourcing standards, use of AI, product evaluation method and affiliate disclosures.",1,0,164,150,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/glp-1,https://metabolicscience.org/glp-1/,200,https://metabolicscience.org/glp-1/,GLP-1 Medications | Metabolic Science,37,"Evidence-based guides on semaglutide, tirzepatide, liraglutide, and other GLP-1 receptor agonists for weight loss and diabetes management.",1,0,164,0,1,0,https://metabolicscience.org/og-image.jpg,Metabolic Science | Evidence-Based Weight Loss & Health,False
https://metabolicscience.org/glp-1/aleniglipron-oral-small-molecule-glp1,https://metabolicscience.org/glp-1/aleniglipron-oral-small-molecule-glp1/,200,https://metabolicscience.org/glp-1/aleniglipron-oral-small-molecule-glp1/,Aleniglipron: The Oral GLP-1 Pill With 16% Weight Loss | Metabolic Science,74,Aleniglipron is Structure Therapeutics' once-daily oral small-molecule GLP-1 pill. Phase 2 trials show up to 16% weight loss. Here's what the science says.,1,1750,4,2,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/amycretin-glp1-amylin-agonist,https://metabolicscience.org/glp-1/amycretin-glp1-amylin-agonist/,200,https://metabolicscience.org/glp-1/amycretin-glp1-amylin-agonist/,Amycretin: Novo Nordisk's GLP-1 + Amylin Drug With 22% Weight Loss | Metabolic Science,86,Amycretin delivers up to 22% weight loss in early trials and comes as both a weekly shot and a daily pill. How Novo Nordisk's GLP-1 + amylin agonist works.,1,1708,3,1,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/bariatric-surgery-vs-glp1-medications,https://metabolicscience.org/glp-1/bariatric-surgery-vs-glp1-medications/,200,https://metabolicscience.org/glp-1/bariatric-surgery-vs-glp1-medications/,Bariatric Surgery vs GLP-1 Medications: Which Works Better? | Metabolic Science,79,"Head-to-head data on bariatric surgery vs GLP-1 medications: weight loss percentages, diabetes remission, durability, and how to choose between them.",1,2094,4,2,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/bimagrumab-semaglutide-muscle-preservation,https://metabolicscience.org/glp-1/bimagrumab-semaglutide-muscle-preservation/,200,https://metabolicscience.org/glp-1/bimagrumab-semaglutide-muscle-preservation/,Bimagrumab and Semaglutide: Fat Loss That Spares Muscle | Metabolic Science,75,"Bimagrumab blocks activin receptors to build muscle. In the phase 2 BELIEVE trial, adding it to semaglutide preserved lean mass while 93% of weight lost was fat.",1,2303,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/bydureon-vs-victoza,https://metabolicscience.org/glp-1/bydureon-vs-victoza/,200,https://metabolicscience.org/glp-1/bydureon-vs-victoza/,Bydureon vs Victoza: Which GLP-1 Is Right for You? | Metabolic Science,70,"A science-backed comparison of Bydureon (exenatide ER) vs Victoza (liraglutide): HbA1c reduction, weight loss, cardiovascular outcomes, and side effects.",1,1717,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/cagrisema-cagrilintide-semaglutide-combination,https://metabolicscience.org/glp-1/cagrisema-cagrilintide-semaglutide-combination/,200,https://metabolicscience.org/glp-1/cagrisema-cagrilintide-semaglutide-combination/,CagriSema: The First GLP-1 + Amylin Combo for Obesity | Metabolic Science,73,Phase 3 REDEFINE 1 data show CagriSema delivers 22.7% weight loss in non-diabetic adults — and an FDA decision is expected in 2026. Here's what the science actually says.,1,2021,8,6,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/ct-388-roche-glp1-gip-dual-agonist,https://metabolicscience.org/glp-1/ct-388-roche-glp1-gip-dual-agonist/,200,https://metabolicscience.org/glp-1/ct-388-roche-glp1-gip-dual-agonist/,CT-388: Roche's Dual GLP-1/GIP Agonist With 22.5% Weight Loss | Metabolic Science,81,Roche's CT-388 delivered 22.5% placebo-adjusted weight loss in Phase 2 and resolved obesity in 54% of patients at the top dose. The signaling-biased science explained.,1,2163,3,1,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/cx11-vct220-oral-glp1-pill,https://metabolicscience.org/glp-1/cx11-vct220-oral-glp1-pill/,200,https://metabolicscience.org/glp-1/cx11-vct220-oral-glp1-pill/,CX11 (VCT220): The Oral GLP-1 Pill With 12% Weight Loss | Metabolic Science,75,"CX11, also called VCT220, is an oral small-molecule GLP-1 pill from Corxel and Vincentage. Phase 3 data in China showed 12.4% weight loss. Here's the science.",1,2073,3,1,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/diet-vs-medication,https://metabolicscience.org/glp-1/diet-vs-medication/,200,https://metabolicscience.org/glp-1/diet-vs-medication/,Diet vs Medication for Weight Loss: What the Evidence Shows | Metabolic Science,79,"A science-based comparison of dietary interventions vs GLP-1 medications for weight loss, including which approach works better and when to combine both.",1,2013,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/ecnoglutide-biased-glp1-weight-loss,https://metabolicscience.org/glp-1/ecnoglutide-biased-glp1-weight-loss/,200,https://metabolicscience.org/glp-1/ecnoglutide-biased-glp1-weight-loss/,Ecnoglutide: The cAMP-Biased GLP-1 Driving 13% Weight Loss | Metabolic Science,78,Ecnoglutide is a once-weekly biased GLP-1 receptor agonist from Sciwind that delivered 13.2% weight loss in Phase 3. Here's how the SLIMMER and EECOH-1 data stack up.,1,1798,3,1,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/efpeglenatide-weekly-glp1-cardio-renal,https://metabolicscience.org/glp-1/efpeglenatide-weekly-glp1-cardio-renal/,200,https://metabolicscience.org/glp-1/efpeglenatide-weekly-glp1-cardio-renal/,Efpeglenatide: The Weekly GLP-1 With Cardio-Renal Benefits | Metabolic Science,78,Efpeglenatide is an exendin-based weekly GLP-1 that cut heart and kidney events in the AMPLITUDE-O trial and drove up to 7.2 kg of weight loss. Here's the full evidence.,1,1792,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/eloralintide-selective-amylin-receptor-agonist,https://metabolicscience.org/glp-1/eloralintide-selective-amylin-receptor-agonist/,200,https://metabolicscience.org/glp-1/eloralintide-selective-amylin-receptor-agonist/,Eloralintide: Lilly's Amylin Drug With 20% Weight Loss | Metabolic Science,74,Eloralintide is Eli Lilly's selective amylin receptor agonist that produced 20% weight loss in a 48-week Phase 2 trial. Here's what the Lancet data actually show.,1,2016,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/exercise-with-glp1,https://metabolicscience.org/glp-1/exercise-with-glp1/,200,https://metabolicscience.org/glp-1/exercise-with-glp1/,Exercise with GLP-1 Medications: Preserving Muscle | Metabolic Science,70,"Learn how to combine exercise with GLP-1 medications like semaglutide and tirzepatide to maximize fat loss, preserve lean muscle mass, and improve long-term outcomes.",1,1766,8,6,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/glp1-acid-reflux-gerd,https://metabolicscience.org/glp-1/glp1-acid-reflux-gerd/,200,https://metabolicscience.org/glp-1/glp1-acid-reflux-gerd/,GLP-1 Medications and Acid Reflux: What the Research Shows | Metabolic Science,78,"Do Ozempic, Wegovy, and Mounjaro cause acid reflux? Here's what cohort studies and meta-analyses show about GERD risk, why delayed stomach emptying drives it, and how to manage it.",1,1790,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/glp1-addiction-research,https://metabolicscience.org/glp-1/glp1-addiction-research/,200,https://metabolicscience.org/glp-1/glp1-addiction-research/,GLP-1 Medications and Addiction: What the Research Shows | Metabolic Science,76,"Emerging research reveals GLP-1 medications like semaglutide may reduce cravings for alcohol, opioids, and nicotine by targeting the brain's reward system. Here's what the science shows.",1,1886,4,2,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
https://metabolicscience.org/glp-1/glp1-adolescents-teens,https://metabolicscience.org/glp-1/glp1-adolescents-teens/,200,https://metabolicscience.org/glp-1/glp1-adolescents-teens/,GLP-1 Medications for Adolescents: What the Research Shows | Metabolic Science,78,"Wegovy and Saxenda are FDA-approved for adolescents 12 and older. Here's what STEP TEENS, AAP guidelines, and ongoing trials reveal about safety and efficacy in teens.",1,2103,2,0,2,0,,Metabolic Science | Evidence-Based Weight Loss & Health,True
